Wallet,Balance,Type
0x10dF55eE5D2977F952f3f264b9e8218D699b36b1,2124.176606,contract
0x97495531A4073953c39e61a09Cc5B4eD69Da1F2B,2078.135072,contract
0x8261f170d2d081E33ec95C23A0E05435b932b9Fc,2021.954003,contract
0x934dff4d5e1a5138D9863F38ab959b07046Dba45,1995.249503,contract
0xf041e368e33d7f28dec1918D52D691C383f42e2d,1985.10082,contract
0xdAa11DD2F1c174391EAC8C1426D5491b21FA9cd3,1974.404816,contract
0x65C2433Db1FB9e6EAb8be06460D599B3AB645D58,1942.789634,contract
0x5317Ef9170f26112FBA458958889C15Af78dfCf7,1915.446306,contract
0xC4fe12630fEffDb5Ee72eDdCBBB43b595407442F,1853.215897,contract
0x0998460853aBFa4D8ef6F2591AabeAE4D060Fb93,1843.845698,contract
0xba96a2ba89eA249148ee599d2BBcD669DE94d4B6,1820.853504,contract
0x6D881ED51C6e660a44901A81BE6363B68F5d8A37,1796.806442,contract
0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,1696.28197,contract
0x29E9315DdBb5c44717D64bD6c0550a692819413d,1678.677504,contract
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,1626.291899,contract
0x1d4ddCB0E96d99f417919Bc9c94b8348Dc837A32,1602.696152,contract
0xb910119F8B1838A95F9fbcF575E51e1E72469517,1582.453457,contract
0x157DD18CF70815dF7c25948ced9760aA61f6DF17,1545.730849,contract
0x2b62Cb060e78500B482a02aCc7a111b62d46E5A9,1535.933389,contract
0x6B2D4ac2655c55712340d071d9Bb030eB293e3E1,1523.344954,contract
0xc976895017c81Ac926478C26c347BBEd202d0508,1414.863872,contract
0x3FA9db8d720679E8e5213f6C5D88faB766058e20,1403.244537,contract
0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,1362.753174,contract
0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,1357.538053,contract
0xc15E011B8E117FbA8cC241C70950fC79f515AB3E,1335.350007,contract
0xc0C3a547231ea6aeBC543826bC55895B015467b3,1330.811161,contract
0x581dE43B0273915f61D015E394D2C6aF1F9ce8E6,1318.91729,contract
0x92CB71850Aa43263EBaAa1E0ED3E78Cb984915Ff,1298.087792,contract
0x288d3b021202293788d76F76947C74a65450374C,1291.661168,contract
0x4958CE329Ed1Eb97e02c59cB847c692941081219,1290.109032,contract
0x2D5f86cd294cA6c92189340EaEFf41fc63Dc66EF,1251.042878,contract
0x6d96f02af1b8701E831A05AB273B75C6E2F02D1d,1228.703366,contract
0x9BB3797b7EAd2E3D7ccA79c2C952D1ca5060cC1c,1210.240009,contract
0x001900845643957d031eCdB3c5fd84EF08F6AaCa,1198.449322,contract
0x6877FdEAC0d0D5d61B4cA3BBd42501a2fF02c144,1189.354682,contract
0x34263200f4236Aa7f6E1DF98e87aF7df1210F3aD,1188.686282,contract
0x97131894a68066f467d81760FA71E851c9a8623b,1183.151862,contract
0x0b6bF854CB7c816518a96317893e43AB219BD365,1179.619666,contract
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,1165.568709,contract
0x1B3c00A967aA935100342eCdf38198E21De1a1CF,1157.480115,contract
0x25955561740Ee18502B1A329a664C2Cd77B23e48,1131.325336,contract
0x33Caf1E780FC8a92247F42A220cAEAFdE3B5D553,1117.662452,contract
0x3A631b481a1B225e32D20C28BB531587e9F32dA0,1099.295736,contract
0xdd3Fb1acB6d176852e70aA736E9Ef11Ec6D2B251,1090.529558,contract
0x5AbDF1bDf263963601D3cC57D14723465D9FC505,1054.761546,contract
0x8FEebfA4aC7AF314d90a0c17C3F91C800cFdE44B,1019.559992,contract
0x13cb2A37ce9B30F1bA27f527347dc636E33272d7,1010.192253,contract
0x0604E36672dcC192c4880Dfc7FE8B39Ac8E3542a,1000,contract
0xb1F56a37738C16D150C9Aaa5441f056e65f4fBD6,997.5611799,contract
0xFaca00C761491e853f9336F378D903D87b77B68d,996.9275904,contract
0x2b95890732184B1017cF61cd92B0e42CB8b3CA17,992.3110684,contract
0x2717C5753df40110905921D77A64c921E1467221,991.2269633,contract
0x48A7BEA12A800957113662d27468fD1C9E8D42Aa,985.7833087,contract
0x0Bd93eb28097CC848649D8d4Cb429536fC448b30,985.7259703,contract
0xAAE96b3720d3499cA3B40C55ef16f34D7fCfa06D,984.331271,contract
0x3172aee5e0B47bB23e87db93327F58E06e6A73B6,973.3775786,contract
0xafae1E9EcD3a355b93960402E875b886f718C55E,968.1708227,contract
0x59F76c18a614085E16A0B9e8455b8999f76b0DCa,956.9841819,contract
0xca247f64eD79B76B2555971B9Eea802C68D1dB2B,935.8707005,contract
0x34EC9c1D89cE8Afa701D079FD908FcA95f49667a,932.8240261,contract
0x6B0AB64BA82daB64130fCD7dC1E2F803f7aEf730,900.7278039,contract
0x11f11DAFde2eD523CD935184dd28876cE52F1652,887.3541327,contract
0x047056668E705504eedB0aeBCb4523a8eC46fD49,839.3540971,contract
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,825.9387765,contract
0xae5b56ca47E84b6c749E0454680C4161B9DA9790,781.6668735,contract
0xA9bEA5C0C25E4D02d56CBFE9A7564c3CcF599617,780.0659609,contract
0x968Fea58d680060ca1C547884eE40a02a8B53c23,764.3352988,contract
0xCf3c8e131AE0838d973BD0711e34F3199CFD2949,756.8576743,contract
