Wallet,Balance,,Column1,Balance,% total,VLT,,,,Token ID,Address,,,Unique wallet,Num gotchis,% total,VLT,,,Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,6311.799305,,0x1dbF00bc3f40F551d79422a96367A6F58Ae59412,6241.271195,0.00235462,11.00991951,,,,10247,0xAF777F6ff15de8d50527208d8cbd36576b213f97,,,0x38798bfB6016beEeae2b12ed1f7bA2c9bb49334f,19,0.005143476,24.05027612,,,0x7b3012531aaEd7b48bc9BfbC1cd7E7f20B1BB5b8,0,0,39,49.36635625,49.36635625
0x1dbF00bc3f40F551d79422a96367A6F58Ae59412,6241.271195,,0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,5936.277503,0.002239556,10.47189514,,,,7634,0xAF777F6ff15de8d50527208d8cbd36576b213f97,,,0x50f461F471e7dCe973e27f0e319eBe868135D764,19,0.005143476,24.05027612,,,0xc0719b1040f7f8e904A6509F99335656C1d881eD,10097.65728,17.8127805,22,27.84768814,45.66046865
0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,5936.277503,,0x46077ac2F9F1c76C075b5964e4dCC02ef441c8eb,5915.453193,0.0022317,10.43516,,,,472,0xDdA1839117919BB842F5F35ED026Dc8613f1a223,,,0xd4e42e41FCa01464d36a44ACAb98D2aA1447e8f4,19,0.005143476,24.05027612,,,0xB3e2A7b1295d9EE03e1f300DfCCaab2ecd47ee53,9.45052E-05,1.66712E-07,36,45.56894423,45.5689444
0x46077ac2F9F1c76C075b5964e4dCC02ef441c8eb,5915.453193,,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,5654.386329,0.002133208,9.974624784,,,,9988,0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,,,0xbba2379F5cc9A2f248C5Cf18aD72379AE2478F42,18,0.004872767,22.78447212,,,0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,25660.83003,45.267008,0,0,45.267008
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,5654.386329,,0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,5635.585481,0.002126115,9.941459133,,,,13829,0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,,,0x9080196182F77B89BB5B0EeE3Ddb48cFA716c4c3,18,0.004872767,22.78447212,,,0x985116F8C174fE13325D36685424d1796cC11f51,14853.01289,26.20146942,15,18.9870601,45.18852952
0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,5635.585481,,0x59bdFB381CA2080D0D042903e776D3DCb548050A,5355.556075,0.00202047,9.447473032,,,,16148,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x77427023E70Cafd983dABaF3488D8D83ECB15b96,18,0.004872767,22.78447212,,,0xCeeC48581B3145a575508719f45da07dc57fA7ce,617.4903704,1.089284388,33,41.77153221,42.8608166
0x59bdFB381CA2080D0D042903e776D3DCb548050A,5355.556075,,0xdC7Aa225964267c7E0EfB35f4931426209E90312,5330.793375,0.002011127,9.40379037,,,,16788,0x00987cbCE7014389197f9D5468Dab5A8facFfeE0,,,0x8B9F39b3c76AaB744BCee37cC56782bAC8eb5FFb,18,0.004872767,22.78447212,,,0x9ff84B91998dF96A6587DB8dDe8D4E47518107d6,23257.49525,41.02740334,0,0,41.02740334
0xdC7Aa225964267c7E0EfB35f4931426209E90312,5330.793375,,0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,5211.500992,0.001966122,9.193352546,,,,21811,0x6994ba66FD6789044c4aD43786CC16840d099C8a,,,0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,18,0.004872767,22.78447212,,,0x8B9F39b3c76AaB744BCee37cC56782bAC8eb5FFb,10069.00388,17.76223445,18,22.78447212,40.54670656
0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,5115.745622,,0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,4944.76657,0.001865493,8.722819473,,,,7862,0x6994ba66FD6789044c4aD43786CC16840d099C8a,,,0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,17,0.004602057,21.51866811,,,0x76A5Df896413F3B566d07da5AF44326C0f54a25b,19.72047926,0.034787927,31,39.2399242,39.27471213
0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,4944.76657,,0x3CF4E2F525C3e755c4aae97846379Ef703252288,4776.696524,0.001802085,8.426335372,,,,3459,0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,,,0x10e11E6443904faF15cdb944f3E99C321Ccc6199,15,0.004060639,18.9870601,,,0x66ab6A57322aC5FD7026662675Db0E83307e025E,0,0,31,39.2399242,39.2399242
