Wallet,vGHST VLT,Gotchi VLT,Total
0x2bD7716Ce2c43B9c0D58982F5BAC67633bf2E7dC,0.535575799,5.633590361,6.169166161
0xF8F94C0733A28919dCFA6C52668C688234359D88,0.535507695,5.633590361,6.169098057
0x97495531A4073953c39e61a09Cc5B4eD69Da1F2B,6.084589661,0,6.084589661
0x7540DB3e26D453EE6298bbdD263a8e4D88BfBE7F,0.424644962,5.633590361,6.058235323
0x4F086538EA410fe7aD1fd369E586cf39DCCA024D,4.059337253,1.877863454,5.937200707
0xf041e368e33d7f28dec1918D52D691C383f42e2d,2.137899576,3.755726908,5.893626484
0x1279a8132C775edE3e738cc2A753fFe47d009353,0.256774745,5.633590361,5.890365106
0x76b4D57A195eD129b28d1e320eD53655EF4750f3,2.095734594,3.755726908,5.851461501
0xCE8Fc6755EfCaf7F85C28901Bca4F4b936591542,0.159505553,5.633590361,5.793095914
0xF18da6a854c715e2a6Cc74C3f12c9c2417ee3312,0.092632366,5.633590361,5.726222727
0xf85e13C32734eA54Ec31BE5C9b3E6ED0ae40cBad,8.56E-02,5.633590361,5.719207398
0x708800fBf7a7e8E65B1D8BBF651c5c32019e7325,5.706295483,0,5.706295483
0x49e37446d862D0E29934aAF51Cdb128f9c9cA4bA,0.031946903,5.633590361,5.665537265
0xcfbc091F167bBa962790E23Ee2DDA557938b8BAf,0.021377408,5.633590361,5.65496777
0x15aE010DffeC19729A410B82d51337B385a96b95,0.005332797,5.633590361,5.638923159
0xadC045001169071580ad97aF8cF5efB7f235A719,0.001689431,5.633590361,5.635279793
0x284aA770c801698e77dbA304c6caADbA6fFDe9ff,2.13869E-07,5.633590361,5.633590575
0x13E965baAFDa80C7501c23cbED282d5e53e3066B,1.90077E-07,5.633590361,5.633590552
0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,1.40443E-07,5.633590361,5.633590502
0xAF777F6ff15de8d50527208d8cbd36576b213f97,0,5.633590361,5.633590361
0xc7a00B2635339d1C4EB7A22AC73f53b7a9bD0613,0,5.633590361,5.633590361
0x4738c8b9e0d7b48db4056BF017D2F90b2319630d,0,5.633590361,5.633590361
0x87cdacBEC845896b11D449884B7430B89060bBa5,0,5.633590361,5.633590361
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,0,5.633590361,5.633590361
0x8fF077D2A138C2f6Bd5De99D91BE50Ce4322f312,0,5.633590361,5.633590361
