Wallet,Gotchis,Gotchi VLT,vGHST,vGHST VLT,Total VLT
0xF8F94C0733A28919dCFA6C52668C688234359D88,3,4.563318152,249.5034387,0.554969462,5.118287614
0x2717C5753df40110905921D77A64c921E1467221,2,3.042212101,892.6593506,1.985538483,5.027750585
0xaC21Ba42297Bc030e730A5cDb0aDC962DA149691,1,1.521106051,1574.289213,3.501684954,5.022791005
0x7540DB3e26D453EE6298bbdD263a8e4D88BfBE7F,3,4.563318152,197.8503375,0.440077683,5.003395836
0x13E965baAFDa80C7501c23cbED282d5e53e3066B,3,4.563318152,185.8877989,0.413469459,4.976787611
0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,3,4.563318152,169.206561,0.37636545,4.939683603
0x31849CbcD3Ab8835455296CCDf77AD78AF99196e,0,0,2194.896677,4.882099555,4.882099555
0x1279a8132C775edE3e738cc2A753fFe47d009353,3,4.563318152,119.636342,0.266106618,4.829424771
0xEc503C9FAC9ccc823ab7F7cebe8953d7ee4CC5AC,2,3.042212101,792.2548013,1.762209062,4.804421163
0x9b328488a8f0fa20628bb959769F0BA78de06466,0,0,2154.470929,4.792180732,4.792180732
0xff409F636a82cc1bDac186afC247632b7c8bb5f2,3,4.563318152,98.72555503,0.219594842,4.782912994
0xc31372dB84e456193e72a162928539C8F5999Ff6,3,4.563318152,80.00007991,0.177943845,4.741261997
0xCE8Fc6755EfCaf7F85C28901Bca4F4b936591542,3,4.563318152,74.31673586,0.165302407,4.728620559
0x5642111A57c82f2f50716C397efF0eefC25a2501,0,0,2121.315235,4.71843266,4.71843266
0xd6874acC7Cd2f875AD577BcCfDDC16a939188E68,3,4.563318152,41.21574326,0.091676006,4.654994159
0xf85e13C32734eA54Ec31BE5C9b3E6ED0ae40cBad,3,4.563318152,39.89064049,0.088728586,4.652046738
0x54966bA0beF2e7aC9E3fD83c7e44C5Fd47B4d8e9,3,4.563318152,39.79508457,0.088516041,4.651834193
0x3172aee5e0B47bB23e87db93327F58E06e6A73B6,2,3.042212101,705.1868844,1.568544256,4.610756358
0x49e37446d862D0E29934aAF51Cdb128f9c9cA4bA,3,4.563318152,14.88468285,0.033107938,4.59642609
0x15aE010DffeC19729A410B82d51337B385a96b95,3,4.563318152,10.20661784,0.022702538,4.58602069
0xcfbc091F167bBa962790E23Ee2DDA557938b8BAf,3,4.563318152,9.960149771,0.02215432,4.585472472
0xadC045001169071580ad97aF8cF5efB7f235A719,3,4.563318152,0.787138874,0.00175083,4.565068982
0x284aA770c801698e77dbA304c6caADbA6fFDe9ff,3,4.563318152,9.96455E-05,2.21641E-07,4.563318374
0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,3,4.563318152,6.5435E-05,1.45547E-07,4.563318298
0xAF777F6ff15de8d50527208d8cbd36576b213f97,3,4.563318152,0,0,4.563318152
0x4738c8b9e0d7b48db4056BF017D2F90b2319630d,3,4.563318152,0,0,4.563318152
0x1dce25415D54E6bc694aaFa6cd5e650d28Bb786A,3,4.563318152,0,0,4.563318152
0xc7a00B2635339d1C4EB7A22AC73f53b7a9bD0613,3,4.563318152,0,0,4.563318152
0x87cdacBEC845896b11D449884B7430B89060bBa5,3,4.563318152,0,0,4.563318152
0x50F27CdB650879A41fb07038bF2B818845c20e17,3,4.563318152,0,0,4.563318152
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,3,4.563318152,0,0,4.563318152
0x8fF077D2A138C2f6Bd5De99D91BE50Ce4322f312,3,4.563318152,0,0,4.563318152
0xA1958a37C21372482DEfF4618BAEbbeC23C9a449,3,4.563318152,0,0,4.563318152
0x65E856C356f0c220fC69C51A66B007748C7596e4,3,4.563318152,0,0,4.563318152
0x770aaA6828E3659f2D12D6b8CA999D34344385E8,3,4.563318152,0,0,4.563318152
0x1af1f839Bc24CDcb12c2028bA7c0D51B30d10d11,3,4.563318152,0,0,4.563318152
0xE2dE15659663F7024699E1e573C033e2EFD5bCb1,3,4.563318152,0,0,4.563318152
0x402C2A801aFbB6641c19FD0FC8fe6282D53D137F,3,4.563318152,0,0,4.563318152
0x4a47096E0dDD4EEd05eF00f0F081bc7700c6DD75,3,4.563318152,0,0,4.563318152
0x8B8B67CD569882e9f200a58e875802e5017D88c0,3,4.563318152,0,0,4.563318152
0xc15E011B8E117FbA8cC241C70950fC79f515AB3E,1,1.521106051,1335.350007,2.97021347,4.491319521
0xeDD0d71F2b7703E1642ea83d8A6f9790aCda1fdA,2,3.042212101,648.3155417,1.442045565,4.484257666
