Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT,,,,
0x8E13649613B774Ab67D1C1eDfc22a2202270fD81,4688.670385,5.490099539,1,1.252918601,6.74301814,,,,
0x57A9758A076B4f2733F1dFC1488756228b9c6452,355.1751089,0.415884791,5,6.264593007,6.680477798,,,,
0x30AF6Bcfd680f01Df88bf267aF097bd84eF7e0c5,5681.830427,6.653019309,0,0,6.653019309,,,,
0x3FEACf904b152b1880bDE8BF04aC9Eb636fEE4d8,5539.967436,6.486907837,0,0,6.486907837,,,,
0x83111e1888C1e49e8703e248EDEAA34EF868A1DE,185.44438,0.217142179,5,6.264593007,6.481735187,,,,
0x294C3c4F59b7A422230e59700BC0ae11020Aa1c8,5525.368785,6.469813854,0,0,6.469813854,,,,
0x1b2E6C79A0b9a1f19234D45D9A8DB9EE57Bc0b14,111.1181516,0.130111452,5,6.264593007,6.39470446,,,,
0x6b6f5e6a8167d72ac8951aC89E9d490A63912945,95.78203652,0.112153952,5,6.264593007,6.37674696,,,,
0x73719C0C85a430aB716bafC6A2A6768e40F7D334,1.035280967,0.00121224,5,6.264593007,6.265805248,,,,
0x5e16073080f5886f9C79FF5f0462ec938eAaFFa9,6.07E-05,7.11E-08,5,6.264593007,6.264593078,,,,
0x93FC1F35f53a9553534979233caF273214C51Fd7,0,0,5,6.264593007,6.264593007,,,,
0xf746A85E0e1A8f5E9E5c221135FacA5ADF71eb14,0,0,5,6.264593007,6.264593007,,,,
0x7bf4d5E579a26dd09F1ddDB2391566e7BA575B5B,0,0,5,6.264593007,6.264593007,,,,
0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,0,0,5,6.264593007,6.264593007,,,,
0x2e48Ec0Bb013e7FDbF319E1A2795035204954B0f,0,0,5,6.264593007,6.264593007,,,,
0x06B1aE2F94cAdE4dba91127F456Fa90f4dE91c34,0,0,5,6.264593007,6.264593007,,,,
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,0,0,5,6.264593007,6.264593007,,,,
0x04838c8a9f6FfAe7eb23e751251a333EF3F90187,0,0,5,6.264593007,6.264593007,,,,
0x36613eAb0Ed4C9d0F5aBF7F8CfEA819F84b9610c,0,0,5,6.264593007,6.264593007,,,,
0xdC7Aa225964267c7E0EfB35f4931426209E90312,5330.793375,6.241979888,0,0,6.241979888,,,,
0x575C13C07b054438a513f4968605c021856f63F8,3086.618739,3.614211007,2,2.505837203,6.12004821,,,,
0x0b6bF854CB7c816518a96317893e43AB219BD365,1858.883525,2.176620395,3,3.758755804,5.935376199,,,,
0x628cC4601166a44e5378717790c8Da50de0cce9B,2927.641728,3.428060235,2,2.505837203,5.933897437,,,,
0x6900C1F8E31B786aD9a85219D6D3FcA20FEdBD3F,4971.792152,5.821614991,0,0,5.821614991,,,,
0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,4944.76657,5.789969957,0,0,5.789969957,,,,
0x10752aE123f8F65ee7609B336C77bb941C584bBA,4924.402121,5.766124635,0,0,5.766124635,,,,
0xE8bf6A58DADf67921933E361e02E40AF0fF38295,1669.115332,1.954415338,3,3.758755804,5.713171142,,,,
0xdAc12B6ddBF055eE542f0Ed460a32D1e9F361ca4,4874.195167,5.707335863,0,0,5.707335863,,,,
0xb97F6ED66997A55F4965a0Feb7f24Ba73a6A94aB,500.0000347,0.585464478,4,5.011674406,5.597138884,,,,
0x94046B4000fefc937F9AE219E2d92bf44A36393E,475.9719776,0.557329332,4,5.011674406,5.569003738,,,,
0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,3677.771028,4.306408292,1,1.252918601,5.559326894,,,,
0x7A8B10716E2e473a541E9E990e711651425E5413,2572.186599,3.01184756,2,2.505837203,5.517684763,,,,
0xE2C67350D0A0768De07E556073BeeEc0AE86a684,4710.64614,5.515831584,0,0,5.515831584,,,,
0x3A631b481a1B225e32D20C28BB531587e9F32dA0,3601.087093,4.216616858,1,1.252918601,5.469535459,,,,
0x30031Dbdd76d548FEeB331Ad5bFCDAaEd3c4Af08,3586.701631,4.199772505,1,1.252918601,5.452691107,,,,
0xc8728Ae130381EB77Fc9a8b715564B00e83E19Df,3568.119566,4.178014228,1,1.252918601,5.43093283,,,,
0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248,323.9922377,0.379371866,4,5.011674406,5.391046272,,,,
0x25612e8bd7683De22dA45D717D0493B0e96424b4,3531.336391,4.134943747,1,1.252918601,5.387862349,,,,
0xE7c8712fC60B20693046c71E5012801eaAfc7217,1330.398377,1.557801875,3,3.758755804,5.316557679,,,,
0x49a338c8A8C92f3f7E5A4700A191bb41595591b2,2363.322867,2.767282986,2,2.505837203,5.273120189,,,,
0x00553b963DE06016C68681C9BEE10A79c51c5D8A,1283.456306,1.502836049,3,3.758755804,5.261591853,,,,
0xaFa59C65e2965B6A0f4d7780CeEb4a8ed30786d4,4490.961202,5.258596147,0,0,5.258596147,,,,
0x8886DcA35291F05Ed5d8e21F083998EA8dcEB50f,174.342003,0.204142085,4,5.011674406,5.215816491,,,,
