Wallet ,vGHST VLT,Gotchi VLT,Total VLT
0x93FC1F35f53a9553534979233caF273214C51Fd7,0,8.5016,8.5016
0x4aC2C547b842aA861B06FB1A3d04d1f778131fa5,0,8.5016,8.5016
0x1b2E6C79A0b9a1f19234D45D9A8DB9EE57Bc0b14,0,8.5016,8.5016
0xf31B40DbcBa528f2cD6Ea9D65058BE320175D259,0,8.5016,8.5016
0x7bf4d5E579a26dd09F1ddDB2391566e7BA575B5B,0,8.5016,8.5016
0xdE6b1d60b5c5c0C8a41C8c3241C56E8754D5Ca65,0,8.5016,8.5016
0x59E5fe3a536d2fa69614E0A0692F5C6e3D6dCbfc,0,8.5016,8.5016
0xC144e32f2a0DB6507fDdfA630628b80468c05B75,8.467122294,0,8.467122294
0xC44F63485Ed5A23FbEEaE300adCA6a08A506aEF1,3.328030627,5.10096,8.428990627
0xaa1158b6bf42C03cA787F71A2f0CbEfBaf98Bb86,3.281448429,5.10096,8.382408429
0xeFF1C603739cc71025C23B49C4D661E6b3DF8184,6.675164894,1.70032,8.375484894
0x49a338c8A8C92f3f7E5A4700A191bb41595591b2,3.254391218,5.10096,8.355351218
0x9F533Eec49dc2DBbf495F1cD687c2536d424bE07,2.916934265,5.10096,8.017894265
0x0b6bF854CB7c816518a96317893e43AB219BD365,2.817671236,5.10096,7.918631236
0x4F086538EA410fe7aD1fd369E586cf39DCCA024D,4.517667545,3.40064,7.918307545
0xb4D502361a3c6f823EEb9A99Af09E110382206ee,1.096380979,6.80128,7.897660979
0x5CD4EF55C339ef01f79f494c0a568df90699Aa22,2.78794107,5.10096,7.88890107
0x64eD2D64912e45d004a64b0f9F3D759533C395e8,0.959708661,6.80128,7.760988661
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,0.714377825,6.80128,7.515657825
0xb1F56a37738C16D150C9Aaa5441f056e65f4fBD6,2.382801443,5.10096,7.483761443
0x76b4D57A195eD129b28d1e320eD53655EF4750f3,2.332359093,5.10096,7.433319093
0xF8F94C0733A28919dCFA6C52668C688234359D88,0.595970619,6.80128,7.397250619
0x7540DB3e26D453EE6298bbdD263a8e4D88BfBE7F,0.472590633,6.80128,7.273870633
0xe02c707c40c9184a5BF6c3AB1ca2609F32989822,7.228096035,0,7.228096035
0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,0.404171339,6.80128,7.205451339
0x33Caf1E780FC8a92247F42A220cAEAFdE3B5D553,0.330160054,6.80128,7.131440054
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,7.110908966,0,7.110908966
0x1279a8132C775edE3e738cc2A753fFe47d009353,0.285766582,6.80128,7.087046582
0x294C3c4F59b7A422230e59700BC0ae11020Aa1c8,7.062982232,0,7.062982232
0xB9301C0001065de513aA0cf1bAea9efB58A2E775,0.238142568,6.80128,7.039422568
0xaC21Ba42297Bc030e730A5cDb0aDC962DA149691,3.612437901,3.40064,7.013077901
0xD952fB344DDAcC0c0e8c23cc686C10d5Dda11A97,0.119100566,6.80128,6.920380566
0x4c1Fd4e71E38bDaE5cc0dBce263dBb6Be018B6cB,0.119082051,6.80128,6.920362051
0xEc503C9FAC9ccc823ab7F7cebe8953d7ee4CC5AC,1.739998919,5.10096,6.840958919
0x2718E86f5793Ac08bd3C4A301382E8c1DA2a1e30,0.002388658,6.80128,6.803668658
0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,0.000749925,6.80128,6.802029925
0x47dC446E56D14C5a51fB7cFf0abA7E5433754Be8,2.87302E-08,6.80128,6.801280029
0x22CAb81E0FEe2bad5b015DbBEB6A374A1B8738de,0,6.80128,6.80128
0x8886DcA35291F05Ed5d8e21F083998EA8dcEB50f,0,6.80128,6.80128
0xc8d42ec0eA8f543E01bd49199f6a1888AE11023B,0,6.80128,6.80128
0xCBE12068CaB7A49BB9C9746a734dE7A11211A3B1,0,6.80128,6.80128
0x2c5C5db1847a96d879b6244cce9320508Bf0A61b,0,6.80128,6.80128
0x97495531A4073953c39e61a09Cc5B4eD69Da1F2B,6.771586473,0,6.771586473
0xc15E011B8E117FbA8cC241C70950fC79f515AB3E,3.189652913,3.40064,6.590292913
0x92CB71850Aa43263EBaAa1E0ED3E78Cb984915Ff,3.100647385,3.40064,6.501287385
0xDA9890c4d573fe27f79C0665ae7E740c6a11412F,1.3174869,5.10096,6.4184469
0x708800fBf7a7e8E65B1D8BBF651c5c32019e7325,6.350579982,0,6.350579982
0x6877FdEAC0d0D5d61B4cA3BBd42501a2fF02c144,2.840924557,3.40064,6.241564557
0xC17f20335080cD0b7283e042C89F16605f3A085f,2.839327998,3.40064,6.239967998
0x77f07Ab7B444C7C9FCfAfc76c053A810cD6203CB,1.13727885,5.10096,6.23823885
0x25955561740Ee18502B1A329a664C2Cd77B23e48,2.702314101,3.40064,6.102954101
0x8bA89f1c8e3D7543E1D74a82e0388373F28C36bA,0.990100036,5.10096,6.091060036
0x3A631b481a1B225e32D20C28BB531587e9F32dA0,2.625807338,3.40064,6.026447338
0x518a8463FFFf4435431d889E507Fa1a9E1c34502,0.903357532,5.10096,6.004317532
0x3787Eea0767fE73d272aD543651Ada3F4dad8279,5.91564705,0,5.91564705
0xe5Ae5AAc9A19Ec43aBdd161e95640A1cc12aE348,5.873893909,0,5.873893909
0xD8dB8f3369EFAFb47175e9078B83D6C4f724BD5d,0.708208753,5.10096,5.809168753
0xafae1E9EcD3a355b93960402E875b886f718C55E,0.607159474,5.10096,5.708119474
0x2bD7716Ce2c43B9c0D58982F5BAC67633bf2E7dC,0.596046412,5.10096,5.697006412
0x59F76c18a614085E16A0B9e8455b8999f76b0DCa,2.285878135,3.40064,5.686518135
0x4a47096E0dDD4EEd05eF00f0F081bc7700c6DD75,0.455906161,5.10096,5.556866161
0xaA99157856D8785C3A0BAB85F070766554A1d882,0.450823825,5.10096,5.551783825
0x11f11DAFde2eD523CD935184dd28876cE52F1652,2.100228532,3.40064,5.500868532
0xbFf36B0e434F7DDd28c523571c3B9F93f60132F6,0.380745441,5.10096,5.481705441
0xCE8Fc6755EfCaf7F85C28901Bca4F4b936591542,0.177514952,5.10096,5.278474952
0x9f32B5A3A6A21dF1671c74372F18415CB3FCaca2,1.842919096,3.40064,5.243559096
0x31849CbcD3Ab8835455296CCDf77AD78AF99196e,5.242789189,0,5.242789189
0xF18da6a854c715e2a6Cc74C3f12c9c2417ee3312,0.10309127,5.10096,5.20405127
0xf85e13C32734eA54Ec31BE5C9b3E6ED0ae40cBad,0.095283856,5.10096,5.196243856
0xE1e92C34B4a26e95da314D818b5D904eFB3961bD,1.771473341,3.40064,5.172113341
