Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT
0x1d4ddCB0E96d99f417919Bc9c94b8348Dc837A32,1602.696152,2.070194965,8,9.589089977,11.65928494
0xCC1e0A566dbd10869c071c811aBa436357858f05,4179.894704,5.399150028,5,5.993181236,11.39233126
0x59E5fe3a536d2fa69614E0A0692F5C6e3D6dCbfc,340.8960146,0.440333754,9,10.78772622,11.22805998
0x5551fA79F15CA4592A3950372fD3d4EE8be7b5CC,0,0,9,10.78772622,10.78772622
0xC4fe12630fEffDb5Ee72eDdCBBB43b595407442F,1853.215897,2.393790124,7,8.39045373,10.78424385
0xa05f67c36cb5fE19Aca3fDb8b4671F4b2d46E421,8278.257331,10.69298546,0,0,10.69298546
0xA709f9904a4E3cF50816609834175446C2246577,2654.82205,3.429220963,6,7.191817483,10.62103845
0xae5b56ca47E84b6c749E0454680C4161B9DA9790,781.6668735,1.009675368,8,9.589089977,10.59876534
0x46077ac2F9F1c76C075b5964e4dCC02ef441c8eb,7148.413799,9.233571967,1,1.198636247,10.43220821
0x5547e568705ed69440b499a2e0EB769c956FCE01,7921.646936,10.23235352,0,0,10.23235352
0x8f2E458791069494eaf3789A1eD8e0B69dBe8dbb,7813.991524,10.09329553,0,0,10.09329553
0x61477Eaa5E33400acC353390Ca001Be0Eb706eb4,179.900717,0.232376897,8,9.589089977,9.821466874
0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,3860.17062,4.986163956,4,4.794544988,9.780708944
0x172d7a92660006eBecb125c712FA0Fe9dd53e106,99.9448428,0.129098276,8,9.589089977,9.718188253
0x17849F5232Aeb12d6F279281385f8031Bfba2856,0,0,8,9.589089977,9.589089977
0xc7a00B2635339d1C4EB7A22AC73f53b7a9bD0613,0,0,8,9.589089977,9.589089977
0x08268F537465997CbC39Fe58250e6d55ac5825Cc,0,0,8,9.589089977,9.589089977
0x7264E14a050fE6A383C654448FCc84d7A4b9eC94,0,0,8,9.589089977,9.589089977
0xf746A85E0e1A8f5E9E5c221135FacA5ADF71eb14,0,0,8,9.589089977,9.589089977
0x868FA0B65c7Cd7fBAA757A703410355e746aFc6B,0,0,8,9.589089977,9.589089977
0x636bFC1dAde24c7E60E5807795E4534D42cb5803,5518.247743,7.127894257,2,2.397272494,9.525166751
0x3c0CDBa6547D1D3f36F9b8ee47809b4B0790ec9E,7333.506475,9.472655293,0,0,9.472655293
0x25758104dFBb2bEE209Ca989b2136881Fb5648D5,7264.770371,9.383869196,0,0,9.383869196
0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,2600.562916,3.359134699,5,5.993181236,9.352315935
0x9F533Eec49dc2DBbf495F1cD687c2536d424bE07,4171.516253,5.388327623,3,3.595908741,8.984236365
0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,1357.538053,1.75352542,6,7.191817483,8.945342903
0x4961a4c211E482C45b09e02848575324cf86F988,6787.224384,8.767025324,0,0,8.767025324
