vGHST,,,,,,Gotchis,,,,,,,,,
,,,,,,,,,,,,,,,
Wallet,Balance,Percentage,VLT earned,,,Tokenid,Wallet,,Unique wallets,Quant,percentage,VLT,,,
0x346D3581ccB117c09B6F4D34c576A4651bec99aD,7.968717907,6.04778E-06,0.028278716,,,20686,0x575C13C07b054438a513f4968605c021856f63F8,,0xd32f222283D295f93664B11faAC967e6826b635f,4,0.001769912,8.275893805,,,
0x551d3A37E1613E8b21f2AD613A01Bf97ec2d2389,8.972161451,6.80934E-06,0.031839653,,,7499,0xa8bd174385B14F880F8b7F06894Cc1bF265Db32e,,0x6b6f5e6a8167d72ac8951aC89E9d490A63912945,5,0.002212389,10.34486726,,,
0xCD05a3969c5158D658a9bDF3Ee6eBcC0712a0292,8.974489617,6.81111E-06,0.031847915,,,7056,0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,,0x5D5CC66fc2f3829c399E47F7B71A5be4918a8851,1,0.000442478,2.068973451,,,
0x82E9B5B3F64b424d00e554fD1CCD24D7e62B22Db,8.983642771,6.81805E-06,0.031880397,,,20148,0x00553b963DE06016C68681C9BEE10A79c51c5D8A,,0xC17f20335080cD0b7283e042C89F16605f3A085f,1,0.000442478,2.068973451,,,
0xBf8aB1e63A9b883A6B5A396cb5A36138af6E020A,9.960136659,7.55915E-06,0.035345696,,,10154,0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,,0xbb899870561D48e823DdfACFFa201dc20214a530,3,0.001327434,6.206920354,,,
0xcfbc091F167bBa962790E23Ee2DDA557938b8BAf,9.960149771,7.55916E-06,0.035345743,,,12429,0xB3e2A7b1295d9EE03e1f300DfCCaab2ecd47ee53,,0xe78bCB254E84231164b8845aC5D01E55541C8aB5,1,0.000442478,2.068973451,,,
0xE1bCD0f5c6c855ee3452B38E16FeD0b7Cb0CC507,9.960617874,7.55952E-06,0.035347404,,,1677,0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,,0x2F1eA6322C976925F5121674196a364c05A2Eec9,2,0.000884956,4.137946903,,,
0x04C873241fe90e09CEaa93CDab3cC5C55ab863Cd,9.960783651,7.55964E-06,0.035347992,,,24953,0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,,0xCeeC48581B3145a575508719f45da07dc57fA7ce,33,0.01460177,68.27612389,,,
0x5AA59e166E4405C05ABF85AD44A8ED84A1d51a06,9.968534781,7.56553E-06,0.035375499,,,16752,0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,,0x3e05FC835a92fa1AD481C623d1F5097BFd55Bb18,1,0.000442478,2.068973451,,,
0xfe0D666e2B1A69d57475C4D516AF1fD47FD2173c,9.969048537,7.56592E-06,0.035377322,,,991,0x82E9B5B3F64b424d00e554fD1CCD24D7e62B22Db,,0xb1F56a37738C16D150C9Aaa5441f056e65f4fBD6,3,0.001327434,6.206920354,,,
0xB306E2DABC78cC94559c6b39769c254068E180Fa,9.972057497,7.5682E-06,0.035388,,,13264,0x575C13C07b054438a513f4968605c021856f63F8,,0xc928499a080594C8854D1A46DCAe5E862acC5d08,2,0.000884956,4.137946903,,,
0xa33Aa58FD2795eA89a84C19CACDad50915194980,9.974753890,7.57025E-06,0.035397568,,,21927,0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,,0xc9c026d92314aaA032cf493DB1058B143DBf9AFF,1,0.000442478,2.068973451,,,
0x70d545fB144Db628f7Ef75cb7Bc2a3E80d1798fC,9.982362253,7.57602E-06,0.035424568,,,10242,0xD8e367019Dc5C28290F1e036790d72B975d35EDA,,0x25612e8bd7683De22dA45D717D0493B0e96424b4,1,0.000442478,2.068973451,,,
0x73c65A848607560345d363848a94862cdD26a3d4,10.000000000,7.58941E-06,0.03548716,,,13049,0x260EDfEa92898A3C918A80212e937e6033F8489E,,0xcBeF46a7Cbe1f46a94ab77501EAa32596Ab3c538,1,0.000442478,2.068973451,,,
0xdCDc977e90Ad7980d8BbA4090dbB0EB70530B845,10.171902776,7.71987E-06,0.036097194,,,9656,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,,0xF18da6a854c715e2a6Cc74C3f12c9c2417ee3312,3,0.001327434,6.206920354,,,
0xE83B9A1B9056B21a01b85162E77AD76a42A1c64B,10.289606997,7.8092E-06,0.036514893,,,18101,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,,0xEd71d7586839Db87Ee8D48454969AB8609f24136,1,0.000442478,2.068973451,,,
0xDF97540FD25F355bA8eD53A9eBBe3D7a3b37ee44,10.841855727,8.22833E-06,0.038474667,,,6395,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,,0x4958CE329Ed1Eb97e02c59cB847c692941081219,1,0.000442478,2.068973451,,,
0x15252F0327D916Be16b4FE23a6e846c223fE9CdE,11.458283510,8.69616E-06,0.040662194,,,12084,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,,0x3172aee5e0B47bB23e87db93327F58E06e6A73B6,2,0.000884956,4.137946903,,,
0x0030B9F1925408D79be83C7cecfffdbACb638e9B,12.269534322,9.31185E-06,0.043541092,,,11429,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,,0x1dce25415D54E6bc694aaFa6cd5e650d28Bb786A,2,0.000884956,4.137946903,,,
